obs_col,obs_idx,frame,single_k,semantic,max_abs,mean_abs,rmse,max_signed_at_some_row
obs648,648,13,37,last_action[8],7.20000000065113e-07,1.2493506492914307e-07,1.687646837407928e-07,-7.20000000065113e-07
obs695,695,14,37,last_action[8],7.20000000065113e-07,1.2505494504896008e-07,1.6880729869439973e-07,-7.20000000065113e-07
obs225,225,4,37,last_action[8],7.20000000065113e-07,1.2409590409042391e-07,1.6820970688790137e-07,-7.20000000065113e-07
obs37,37,0,37,last_action[8],7.20000000065113e-07,1.2349650349106154e-07,1.679368845716016e-07,-7.20000000065113e-07
obs366,366,7,37,last_action[8],7.20000000065113e-07,1.2445554444987497e-07,1.6842337594041408e-07,-7.20000000065113e-07
obs413,413,8,37,last_action[8],7.20000000065113e-07,1.2445554444987497e-07,1.6842337594041408e-07,-7.20000000065113e-07
obs84,84,1,37,last_action[8],7.20000000065113e-07,1.2364635364088827e-07,1.6800379377289648e-07,-7.20000000065113e-07
obs554,554,11,37,last_action[8],7.20000000065113e-07,1.2469530468950902e-07,1.6859411621005025e-07,-7.20000000065113e-07
obs319,319,6,37,last_action[8],7.20000000065113e-07,1.2421578421024095e-07,1.6825246240600512e-07,-7.20000000065113e-07
obs178,178,3,37,last_action[8],7.20000000065113e-07,1.239160839105875e-07,1.6811346721467679e-07,-7.20000000065113e-07
obs460,460,9,37,last_action[8],7.20000000065113e-07,1.2445554444987497e-07,1.6842337594041408e-07,-7.20000000065113e-07
obs131,131,2,37,last_action[8],7.20000000065113e-07,1.2376623376076076e-07,1.680466016808127e-07,-7.20000000065113e-07
obs601,601,12,37,last_action[8],7.20000000065113e-07,1.2469530468950902e-07,1.6859411621005025e-07,-7.20000000065113e-07
obs507,507,10,37,last_action[8],7.20000000065113e-07,1.2445554444987497e-07,1.6842337594041408e-07,-7.20000000065113e-07
obs272,272,5,37,last_action[8],7.20000000065113e-07,1.2421578421024095e-07,1.6825246240600512e-07,-7.20000000065113e-07
obs504,504,10,34,last_action[5],7.100000001258877e-07,1.0459540459564126e-07,1.5392240867498114e-07,7.100000001258877e-07
obs81,81,1,34,last_action[5],7.100000001258877e-07,1.0349650349724578e-07,1.5313833175196722e-07,7.100000001258877e-07
obs457,457,9,34,last_action[5],7.100000001258877e-07,1.0459540459564126e-07,1.5392240867498114e-07,7.100000001258877e-07
obs222,222,4,34,last_action[5],7.100000001258877e-07,1.0388611388666843e-07,1.533759297429917e-07,7.100000001258877e-07
obs34,34,0,34,last_action[5],7.100000001258877e-07,1.0331668331740934e-07,1.5303261423435884e-07,7.100000001258877e-07
obs692,692,14,34,last_action[5],7.100000001258877e-07,1.0459540459564126e-07,1.5392240867498114e-07,7.100000001258877e-07
obs269,269,5,34,last_action[5],7.100000001258877e-07,1.0388611388666843e-07,1.5337592974299167e-07,7.100000001258877e-07
obs363,363,7,34,last_action[5],7.100000001258877e-07,1.0435564435600721e-07,1.5373537470220064e-07,7.100000001258877e-07
obs645,645,13,34,last_action[5],7.100000001258877e-07,1.0459540459564126e-07,1.5392240867498114e-07,7.100000001258877e-07
obs551,551,11,34,last_action[5],7.100000001258877e-07,1.0459540459564126e-07,1.5392240867498114e-07,7.100000001258877e-07
obs598,598,12,34,last_action[5],7.100000001258877e-07,1.0459540459564126e-07,1.5392240867498114e-07,7.100000001258877e-07
obs128,128,2,34,last_action[5],7.100000001258877e-07,1.0352647352721737e-07,1.531412673079166e-07,7.100000001258877e-07
obs410,410,8,34,last_action[5],7.100000001258877e-07,1.0435564435600721e-07,1.5373537470220064e-07,7.100000001258877e-07
obs175,175,3,34,last_action[5],7.100000001258877e-07,1.0364635364703438e-07,1.5318822855247477e-07,7.100000001258877e-07
obs316,316,6,34,last_action[5],7.100000001258877e-07,1.0412587412630247e-07,1.5356340150572662e-07,7.100000001258877e-07
obs459,459,9,36,last_action[7],6.000000001282757e-07,1.4366633366706137e-07,1.888598209476371e-07,-6.000000001282757e-07
obs318,318,6,36,last_action[7],6.000000001282757e-07,1.4318681318746057e-07,1.8847858187200612e-07,-6.000000001282757e-07
obs647,647,13,36,last_action[7],6.000000001282757e-07,1.4462537462581935e-07,1.895441189464915e-07,-6.000000001282757e-07
obs130,130,2,36,last_action[7],6.000000001282757e-07,1.4283716283780016e-07,1.8836220342898947e-07,-6.000000001282757e-07
obs365,365,7,36,last_action[7],6.000000001282757e-07,1.433066933073885e-07,1.885167404738359e-07,-6.000000001282757e-07
obs271,271,5,36,last_action[7],6.000000001282757e-07,1.4309690309754235e-07,1.8845711426313716e-07,-6.000000001282757e-07
obs177,177,3,36,last_action[7],6.000000001282757e-07,1.4288711288775166e-07,1.8836883283367673e-07,-6.000000001282757e-07
obs224,224,4,36,last_action[7],6.000000001282757e-07,1.430669330675742e-07,1.8845472882230935e-07,-6.000000001282757e-07
obs600,600,12,36,last_action[7],6.000000001282757e-07,1.4438561438618533e-07,1.8939226639364092e-07,-6.000000001282757e-07
obs83,83,1,36,last_action[7],6.000000001282757e-07,1.4265734265797758e-07,1.8827626522813627e-07,-6.000000001282757e-07
obs553,553,11,36,last_action[7],6.000000001282757e-07,1.4414585414655128e-07,1.8924029198941213e-07,-6.000000001282757e-07
obs694,694,14,36,last_action[7],6.000000001282757e-07,1.448651348654534e-07,1.8969584994059204e-07,-6.000000001282757e-07
obs506,506,10,36,last_action[7],6.000000001282757e-07,1.4402597402673427e-07,1.8920227931467288e-07,-6.000000001282757e-07
obs412,412,8,36,last_action[7],6.000000001282757e-07,1.433066933073885e-07,1.885167404738359e-07,-6.000000001282757e-07
obs36,36,0,36,last_action[7],6.000000001282757e-07,1.4265734265797758e-07,1.8827626522813627e-07,-6.000000001282757e-07
obs505,505,10,35,last_action[6],6.000000000172534e-07,1.0617382617500487e-07,1.4067768049851138e-07,-6.000000000172534e-07
obs646,646,13,35,last_action[6],6.000000000172534e-07,1.0653346653456685e-07,1.4085652076049305e-07,-6.000000000172534e-07
obs693,693,14,35,last_action[6],6.000000000172534e-07,1.0665334665449477e-07,1.4090757628725397e-07,-6.000000000172534e-07
obs176,176,3,35,last_action[6],6.000000000172534e-07,1.0548451548572426e-07,1.4026697820611577e-07,-6.000000000172534e-07
obs82,82,1,35,last_action[6],6.000000000172534e-07,1.0528471528597379e-07,1.4016081815299597e-07,-6.000000000172534e-07
obs364,364,7,35,last_action[6],6.000000000172534e-07,1.0600399600520863e-07,1.4057502858467312e-07,-6.000000000172534e-07
obs552,552,11,35,last_action[6],6.000000000172534e-07,1.062337662350243e-07,1.4069046234214734e-07,-6.000000000172534e-07
obs458,458,9,35,last_action[6],6.000000000172534e-07,1.0600399600520863e-07,1.4057502858467312e-07,-6.000000000172534e-07
obs129,129,2,35,last_action[6],6.000000000172534e-07,1.0545454545577001e-07,1.4026377320668656e-07,-6.000000000172534e-07
obs411,411,8,35,last_action[6],6.000000000172534e-07,1.0600399600520863e-07,1.4057502858467312e-07,-6.000000000172534e-07
obs35,35,0,35,last_action[6],6.000000000172534e-07,1.0516483516615676e-07,1.4010949050991064e-07,-6.000000000172534e-07
obs223,223,4,35,last_action[6],6.000000000172534e-07,1.05594405595612e-07,1.4031006053438342e-07,-6.000000000172534e-07
obs270,270,5,35,last_action[6],6.000000000172534e-07,1.0571428571548447e-07,1.4036131483263516e-07,-6.000000000172534e-07
obs599,599,12,35,last_action[6],6.000000000172534e-07,1.063536463548413e-07,1.4074157810831046e-07,-6.000000000172534e-07
obs317,317,6,35,last_action[6],6.000000000172534e-07,1.0595404595522942e-07,1.4056614513844093e-07,-6.000000000172534e-07
obs78,78,1,31,last_action[2],5.999999999062311e-07,1.3161838161215578e-07,1.7302301301961934e-07,5.999999999062311e-07
obs171,171,3,30,last_action[1],5.999999999062311e-07,1.4268731269042432e-07,1.8376052913903168e-07,-5.999999999062311e-07
obs642,642,13,31,last_action[2],5.999999999062311e-07,1.334165834103954e-07,1.7441353134871627e-07,5.999999999062311e-07
obs312,312,6,30,last_action[1],5.999999999062311e-07,1.4322677323008614e-07,1.8404137788235535e-07,-5.999999999062311e-07
obs313,313,6,31,last_action[2],5.999999999062311e-07,1.322277722215341e-07,1.7336534963181256e-07,5.999999999062311e-07
obs77,77,1,30,last_action[1],5.999999999062311e-07,1.42147852150915e-07,1.8324115989273597e-07,-5.999999999062311e-07
obs454,454,9,31,last_action[2],5.999999999062311e-07,1.3251748251124095e-07,1.7345205211536188e-07,5.999999999062311e-07
obs266,266,5,31,last_action[2],5.999999999062311e-07,1.321378621316159e-07,1.7334201032890798e-07,5.999999999062311e-07
obs641,641,13,30,last_action[1],5.999999999062311e-07,1.4434565434892421e-07,1.8492566749668287e-07,-5.999999999062311e-07
obs688,688,14,30,last_action[1],5.999999999062311e-07,1.4458541458872463e-07,1.8508118477213032e-07,-5.999999999062311e-07
obs265,265,5,30,last_action[1],5.999999999062311e-07,1.4299700300015956e-07,1.8389774772932063e-07,-5.999999999062311e-07
obs689,689,14,31,last_action[2],5.999999999062311e-07,1.3347652347035937e-07,1.7442384103421442e-07,5.999999999062311e-07
obs453,453,9,30,last_action[1],5.999999999062311e-07,1.4328671328999464e-07,1.8405114826164093e-07,-5.999999999062311e-07
obs548,548,11,31,last_action[2],5.999999999062311e-07,1.3293706293085007e-07,1.7375243908312745e-07,5.999999999062311e-07
obs172,172,3,31,last_action[2],5.999999999062311e-07,1.320179820117434e-07,1.7330051047381095e-07,5.999999999062311e-07
obs31,31,0,31,last_action[2],5.999999999062311e-07,1.314985014922833e-07,1.7298143663411856e-07,5.999999999062311e-07
obs406,406,8,30,last_action[1],5.999999999062311e-07,1.4322677323008614e-07,1.8404137788235535e-07,-5.999999999062311e-07
obs595,595,12,31,last_action[2],5.999999999062311e-07,1.334165834103954e-07,1.7441353134871625e-07,5.999999999062311e-07
obs547,547,11,30,last_action[1],5.999999999062311e-07,1.4367632367961313e-07,1.8431719174952717e-07,-5.999999999062311e-07
obs359,359,7,30,last_action[1],5.999999999062311e-07,1.4322677323008614e-07,1.8404137788235535e-07,-5.999999999062311e-07
obs360,360,7,31,last_action[2],5.999999999062311e-07,1.3233766233142183e-07,1.7340020866494942e-07,5.999999999062311e-07
obs218,218,4,30,last_action[1],5.999999999062311e-07,1.4287712288023164e-07,1.838586304896231e-07,-5.999999999062311e-07
obs124,124,2,30,last_action[1],5.999999999062311e-07,1.422677322708429e-07,1.832804089182265e-07,-5.999999999062311e-07
obs30,30,0,30,last_action[1],5.999999999062311e-07,1.4202797203098704e-07,1.8320190245856655e-07,-5.999999999062311e-07
obs594,594,12,30,last_action[1],5.999999999062311e-07,1.4399600399929154e-07,1.8459448766615013e-07,-5.999999999062311e-07
obs125,125,2,31,last_action[2],5.999999999062311e-07,1.3172827172204697e-07,1.730579410095807e-07,5.999999999062311e-07
obs219,219,4,31,last_action[2],5.999999999062311e-07,1.321378621316159e-07,1.7334201032890798e-07,5.999999999062311e-07
obs501,501,10,31,last_action[2],5.999999999062311e-07,1.3263736263114115e-07,1.7349351572154117e-07,5.999999999062311e-07
obs407,407,8,31,last_action[2],5.999999999062311e-07,1.3239760239135805e-07,1.734105785949748e-07,5.999999999062311e-07
obs500,500,10,30,last_action[1],5.999999999062311e-07,1.4337662337991287e-07,1.8407312971892964e-07,-5.999999999062311e-07
obs509,509,10,39,last_action[10],5.400000000002625e-07,1.1469530469621334e-07,1.492241004931272e-07,5.400000000002625e-07
obs462,462,9,39,last_action[10],5.400000000002625e-07,1.1469530469621334e-07,1.492241004931272e-07,5.400000000002625e-07
obs133,133,2,39,last_action[10],5.400000000002625e-07,1.1382617382708243e-07,1.4838726771165814e-07,5.400000000002625e-07
obs697,697,14,39,last_action[10],5.400000000002625e-07,1.1493506493601376e-07,1.4932047212878681e-07,5.400000000002625e-07
obs321,321,6,39,last_action[10],5.400000000002625e-07,1.1397602397690916e-07,1.4842664696952934e-07,5.400000000002625e-07
obs39,39,0,39,last_action[10],5.400000000002625e-07,1.1367632367725571e-07,1.4831150898180762e-07,5.400000000002625e-07
obs556,556,11,39,last_action[10],5.400000000002625e-07,1.1469530469621334e-07,1.492241004931272e-07,5.400000000002625e-07
obs603,603,12,39,last_action[10],5.400000000002625e-07,1.1469530469621334e-07,1.492241004931272e-07,5.400000000002625e-07
obs180,180,3,39,last_action[10],5.400000000002625e-07,1.1391608391700066e-07,1.4841453138768006e-07,5.400000000002625e-07
obs86,86,1,39,last_action[10],5.400000000002625e-07,1.1367632367725571e-07,1.4831150898180762e-07,5.400000000002625e-07
obs650,650,13,39,last_action[10],5.400000000002625e-07,1.1481518481611355e-07,1.4927229408826464e-07,5.400000000002625e-07
obs368,368,7,39,last_action[10],5.400000000002625e-07,1.1421578421666799e-07,1.4862036195676236e-07,5.400000000002625e-07
obs415,415,8,39,last_action[10],5.400000000002625e-07,1.1463536463624938e-07,1.4921204966216252e-07,5.400000000002625e-07
obs227,227,4,39,last_action[10],5.400000000002625e-07,1.1391608391700066e-07,1.4841453138768006e-07,5.400000000002625e-07
obs274,274,5,39,last_action[10],5.400000000002625e-07,1.1397602397690916e-07,1.484266469695293e-07,5.400000000002625e-07
obs221,221,4,33,last_action[4],5.399999999933236e-07,1.2142857142847763e-07,1.5733513801533675e-07,-5.399999999933236e-07
obs597,597,12,33,last_action[4],5.399999999933236e-07,1.2225774225773193e-07,1.5767795553695815e-07,-5.399999999933236e-07
obs456,456,9,33,last_action[4],5.399999999933236e-07,1.2195804195796753e-07,1.5752963027806667e-07,-5.399999999933236e-07
obs33,33,0,33,last_action[4],5.399999999933236e-07,1.2107892107873404e-07,1.5723192462671052e-07,-5.399999999933236e-07
obs362,362,7,33,last_action[4],5.399999999933236e-07,1.217182817182226e-07,1.5743828373930156e-07,-5.399999999933236e-07
obs268,268,5,33,last_action[4],5.399999999933236e-07,1.2157842157832516e-07,1.574065537923431e-07,-5.399999999933236e-07
obs503,503,10,33,last_action[4],5.399999999933236e-07,1.2213786213780398e-07,1.576323318609411e-07,-5.399999999933236e-07
obs550,550,11,33,last_action[4],5.399999999933236e-07,1.2225774225773193e-07,1.5767795553695815e-07,-5.399999999933236e-07
obs127,127,2,33,last_action[4],5.399999999933236e-07,1.2122877122861623e-07,1.572690892499611e-07,-5.399999999933236e-07
obs644,644,13,33,last_action[4],5.399999999933236e-07,1.2225774225773193e-07,1.5767795553695815e-07,-5.399999999933236e-07
obs80,80,1,33,last_action[4],5.399999999933236e-07,1.2116883116865227e-07,1.5725765491674152e-07,-5.399999999933236e-07
obs174,174,3,33,last_action[4],5.399999999933236e-07,1.2134865134854417e-07,1.5731481827186312e-07,-5.399999999933236e-07
obs691,691,14,33,last_action[4],5.399999999933236e-07,1.2228771228768617e-07,1.5768080657839465e-07,-5.399999999933236e-07
obs409,409,8,33,last_action[4],5.399999999933236e-07,1.218381618380396e-07,1.574839636316895e-07,-5.399999999933236e-07
obs315,315,6,33,last_action[4],5.399999999933236e-07,1.2163836163828912e-07,1.5741797731002987e-07,-5.399999999933236e-07
obs181,181,3,40,last_action[11],4.800000001914384e-07,1.0573426573332586e-07,1.4927865180295852e-07,-4.800000001914384e-07
